source,target
15079,6744
15079,7408
15079,256
15079,7661
15080,2064
15080,4195
15080,16532
15080,10219
15081,14537
15085,8805
15085,14539
15085,12763
15085,14105
15085,464
15086,11873
15088,12202
15088,12999
15090,15169
15091,15015
15091,14702
15091,14564
15091,10159
15093,5041
15093,12649
15093,9315
15094,3340
15094,15687
15095,5381
15095,7840
15095,3880
15096,10941
15096,9319
15096,10515
15096,15387
15096,2177
15097,12973
15098,12518
15098,15492
15099,2907
15100,10295
15100,5416
15100,16512
15100,989
15100,14630
15100,5002
15100,15049
15100,15277
15100,6450
15103,6771
15103,880
15103,8077
15103,13078
15103,1653
15103,16071
15103,1691
15103,5493
15103,1940
15103,15179
15104,1927
15106,13651
15107,7543
15111,956
15112,6496
15112,6452
15112,7070
15112,9526
15112,11247
15114,882
15114,4287
15114,1296
15114,12140
15115,8624
15116,1217
15116,15182
15118,16519
15119,6352
15120,7513
15120,239
15120,11974
15120,1525
15120,10245
15120,869
15123,11369
15123,13333
15123,16541
15123,6905
15123,1583
15123,8735
15123,4401
15123,10732
15123,9854
15123,2267
15123,8236
15123,2255
15123,5947
15123,349
15123,6209
15123,14971
15123,12316
15124,3859
15124,139
15124,9853
15124,10212
15124,5012
15124,4134
15124,7473
15125,4301
15125,1192
15126,12078
15126,3812
15126,6704
15126,5777
15126,12250
15126,1622
15126,14625
15127,8290
15128,2922
15128,7041
15130,14342
15130,8831
15133,11061
15135,14059
15136,15608
15136,4374
15136,5807
15138,1862
15138,13473
15139,3867
15140,6267
15142,3846
15143,15027
15143,14009
15144,13775
15144,1134
15144,15768
15144,8856
15144,9958
15144,6921
15144,5681
15144,26
15144,15310
15144,10773
15144,1389
15144,6650
15144,515
15144,15502
15145,8441
15146,1664
15146,2315
15146,5711
15146,401
15146,16657
15146,16337
15146,435
15146,6083
15147,10938
15147,14874
15147,2335
15147,61
15149,73
15149,11844
15150,3025
15150,9726
15150,14992
15152,8474
15153,5753
15153,11226
15155,11639
15156,9810
15156,6517
15156,3704
15156,10836
15156,12121
15156,7971
15157,3911
15159,10490
15159,4997
15159,10088
15160,3306
15160,2399
15161,14475
15161,1484
15161,14857
15161,6457
15161,4664
15161,12483
15161,10198
15161,13211
15161,12764
15161,14407
15161,13769
15161,12785
15161,5105
15161,11765
15161,2511
15161,5227
15161,12188
15161,5963
15161,9293
15161,6736
15161,9749
15161,3577
15161,3634
15161,4744
15161,2476
15161,142
15161,8579
15162,6981
15162,1750
15162,8565
15162,1487
15162,14393
15163,5967
15163,5514
15164,13740
15165,7988
15165,15877
15165,4871
15165,2143
15165,5006
15165,10590
15167,11186
15167,477
15167,7528
15167,2540
15167,1223
15168,15427
15168,10475
15169,5371
15169,12988
15169,10793
15170,6525
15171,12374
15171,1287
15172,3981
15175,6680
15175,14035
15175,3728
15175,15674
15175,2417
15175,11684
15175,4935
15176,897
15176,13697
15177,12991
15178,1871
15178,16704
15178,9797
15178,7961
15179,8077
15179,1653
15179,6771
15181,14258
15181,9326
15181,3327
15183,539
15184,10419
15186,7049
15186,10856
15188,7763
15189,325
15189,4829
15190,3122
15190,8847
15191,13582
15191,11754
15191,2838
15192,11811
15193,8050
15193,2683
15193,4741
15193,7327
15193,704
15193,16842
15193,12632
15194,2566
15196,15404
15196,12302
15196,9932
15196,11103
15196,5122
15196,4427
15196,7611
15196,2907
15196,9275
15196,9759
15196,5661
15196,4361
15197,9240
15198,14300
15198,8043
15198,11508
15198,10245
15198,16125
15199,480
15199,6266
15199,9503
15199,14927
15199,11366
15199,2601
15199,2837
15203,11636
15205,10894
15206,4233
15206,13688
15206,15022
15207,4720
15209,3900
15210,2586
15211,9382
15211,9687
15211,14200
15211,6968
15211,2875
15212,8205
15212,7160
15212,5099
15214,2858
15214,15282
15214,16307
15214,7862
15216,9284
15216,11029
15216,15222
15217,7927
15218,8382
15218,7038
15218,15231
15219,2083
15219,12533
15219,2417
15219,12965
15219,4679
15219,1134
15219,2789
15219,3021
15219,13768
15219,14874
15219,9942
15219,16659
15219,13691
15220,10746
15220,16280
15222,16
15222,14812
15222,16280
15222,8166
15222,1040
15223,8921
15223,5492
15224,11140
15224,16667
15225,15509
15227,787
15227,15315
15227,12420
15227,316
15227,15836
15227,1402
15227,16637
15227,1821
15227,2183
15227,16853
15227,14499
15227,15793
15227,4730
15227,3201
15227,6483
15227,3763
15227,2649
15227,12265
15230,12733
15231,7038
15232,6975
15232,2580
15233,16618
15234,13576
15236,1410
15236,12536
15236,15291
15239,3843
15239,5682
15239,677
15239,14302
15239,13019
15240,322
15240,4548
15240,10318
15240,9168
15241,12047
15241,8831
15242,71
15242,14383
15242,2460
15242,14590
15243,8928
15243,143
15243,7226
15244,14762
15245,2621
15245,4016
15245,5179
15245,14462
15245,3996
15245,15572
15245,15682
15245,11067
15245,11258
15245,378
15245,6225
15245,5908
15245,11048
15245,16696
15245,9886
15245,1567
15245,1990
15245,9179
15245,9236
15245,2511
15247,9227
15247,8837
15247,10980
15248,15038
15248,9164
15248,7603
15248,2293
15249,4812
15249,12752
15250,16613
15250,8190
15250,746
15251,9606
15251,6770
15251,3958
15252,13380
15255,9282
15255,5579
15255,8535
15258,3606
15258,264
15261,1290
15261,1709
15261,11984
15261,8288
15261,3808
15261,14571
15263,16196
15263,9056
15263,3238
15263,6393
15263,9143
15263,447
15263,16821
15264,722
15264,15795
15266,9577
15266,3386
15266,6266
15266,3437
15268,16791
15268,8554
15268,11250
15268,6204
15268,817
15268,10673
15268,15410
15268,464
15268,3237
15268,16407
15268,2855
15268,9459
15268,10561
15268,10350
15268,7382
